id,Comment,Classes,ner_text,ner_comments,Class_Value
1662,charlotte successfully completed weektasks next day belinux guru ,Excellent,"charlotte, next day","charlotte, next day",4
1665,jonas managed complete weekmain task without challenge well ,Excellent,,,4
1666,successfully completed weekmain task configuring interior gateway protocol layer 3 device fixing common pc problem ,Excellent,3,3,4
1684,despitefew challenge patricia managed complete weekmain task alsopromising linux guru ,Excellent,,,4
1692,successfully completed weekmain task setting upsoho network installing operating system application software without challenge ,Excellent,,,4
1714,fully completed ,Excellent,,,4
1743,fulfilled task task ,Excellent,,,4
1765,task completed time left completing update website ,Excellent,,,4
1782,successfully completed weekmain task like file compression creating user permission scripting etc since linux good window many waysencourage charlotte switch window linux ,Excellent,,,4
1793,collins completed task expected ,Excellent,,,4
1802,elsysmus successfully completed weektasks addition networking upgrade pc install operating system application software ease ,Excellent,elsysmus,elsysmus,4
1805,aaron managed complete weekmain task configuring routing protocol layer 3 device installing software end device configuring vlans layer 2 device inter vlan routingencourage use device pc stratcom complete hand practical task ,Excellent,"aaron, 3, 2, inter vlan","aaron, 3, 2, inter vlan",4
1807,margert succesfully completed weekmain task understands cisco io command ease ,Excellent,"margert, cisco io","margert, cisco io",4
1809,gilbert successfully completed weekmain tasksalso encourage get used weather ,Excellent,,,4
1823,heather successfully completed weekmain task networking equipment expensive soencourage use one stratcom practice ,Excellent,one,one,4
1827,fatihi successfully completed weekpractical task configuring routing protocol layer 3 device installing software end device ,Excellent,"fatihi, 3","fatihi, 3",4
1830,gordan managed complete weekmain task configuring routing protocol layer 3 device installing software end device since doesnhavelaptopencourage use pc device stratcom complete practical task ,Excellent,"gordan, 3","gordan, 3",4
1847,task completed ,Excellent,,,4
1848,sheenah successfully completed weekmain task configuring vlans layer 2 device installing software end device ,Excellent,2,2,4
1851,martin successfully completed weektasksencourage plan movementsbit early save transport cost ,Excellent,martin,martin,4
1853,successfully completed weekmain task installing operating system application software configuring vlans inter vlan routing using router stick method ,Excellent,inter vlan,inter vlan,4
1858,task well done ,Excellent,,,4
1863,uma successfully completed weektasks without challengeencourage perfect linux ita good operating system term security ,Excellent,,,4
1870,successfully completed weektasks configuring routing protocol layer 3 device troubleshooting connectivity issue ,Excellent,3,3,4
1890,task carried successfully minimal supervision ,Excellent,,,4
1924,task completed successfully excellent work ,Excellent,,,4
1940,joshua completed weektasks without challenge ,Excellent,joshua,joshua,4
1952,encourage aaron get used distance since internship almost done aside successfully completed weektasks hedoing well ,Excellent,aaron,aaron,4
1954,hellen successfully completed weektasks without challenge ,Excellent,hellen,hellen,4
1955,jonas completed weektasks without challenge ,Excellent,,,4
1968,leticia successfully completed weektasks order appreciate power linuxencourage switch window linux ,Excellent,,,4
1970,heather successfully completed weektasks without challenge share resource onlan secure intermediary networking device ,Excellent,,,4
1971,syden successfully completed weekmain task like setting upfile server configuring ssh configuring dhcp access control list layer 3 ,Excellent,3,3,4
1973,luise successfully completed weektasks without challenge share resource onlan configurelayer 3 device dhcp server ,Excellent,,,4
1980,margret completed weektasks configuring dhcp server configuring ssh setting upfile server etc without challenge ,Excellent,margret,margret,4
1981,jovan successfully completed weektasks well ,Excellent,,,4
1984,syden successfully completed weektasks without challenge also perfected command needed activate interior gateway protocol layer 3 device ,Excellent,3,3,4
1986,joram successfully completed weektasks hea promising network expert best luck ,Excellent,,,4
1995,patricia successfully completed weektasks without challenge ,Excellent,,,4
2018,stacey successfully completed weektasks without challenge ,Excellent,stacey,stacey,4
2024,assignment completed satisfaction ,Excellent,,,4
2025,assignment completed satisfaction ,Excellent,,,4
2036,simon successfully completed weektasks ,Excellent,,,4
2040,task carried successfully minimal supervision ,Excellent,,,4
2052,ssemuga successfully completed weektasks ease ispromising networking professional ,Excellent,ssemuga,ssemuga,4
2069,finished task assigned ,Excellent,,,4
2072,finished task assigned ,Excellent,,,4
2092,successfully diligently accomplished task guidance supervision ,Excellent,,,4
2099,encourage gilbert plan movement abit early save transport cost aside successuflly completed weektasks ,Excellent,,,4
2105,despite distance challenge gordan managed complete weekmain task setting upsoho network configuring wireless device building troubleshooting access control list sharing resource onlan printer internet connection ,Excellent,,,4
2108,successfully completed weektasks also perfected io command needed operatecisco device ,Excellent,,,4
2122,patricia successfully completed weektasks set uplan 20 pc share resource like printer internet connection ,Excellent,20,20,4
2130,heather successfully completed weektasks set uplan scratch also share resource like printer internet connection network ,Excellent,,,4
2131,successfully completed weektask setting upsmall office home network soho also managed share resource lan printer internet connection ,Excellent,,,4
2138,successfully completed weektasks configuring troubleshooting access control list setting upwireless network ,Excellent,,,4
2140,patricio successfully completed weektasks set uplan scratch also share resource like printer internet connection ,Excellent,,,4
2147,successfully completed weektasks without serious challenge also set uplan withnumber pc ,Excellent,,,4
2161,successfully setup development database enviroment messaging app ,Excellent,,,4
2164,task well done ,Excellent,,,4
2199,accomplished task progress week ,Excellent,,,4
2207,anna successfully completed weektasks ispromising linux guru ,Excellent,anna successfully,anna successfully,4
2213,rhoda successfully competed weektasks well ,Excellent,,,4
2216,joan successfully completed weektasks well ,Excellent,joan,joan,4
2217,encourage rhoda get used ugandan weather aside successfully completed weektasks ,Excellent,,,4
2228,task well accomplished ,Excellent,,,4
2232,great task ,Excellent,,,4
2233,sheenah successfully completed weektasks without challengeencourage perfect linux ita good operating system term security ,Excellent,,,4
2252,fatihi plan movement abit early save transport fee aside successfully completed weektasks hea promising linux guru ,Excellent,fatihi plan movement,fatihi plan movement,4
2262,task well done ,Excellent,,,4
2301,joan successfully completed weektasks without challenge well far ,Excellent,joan,joan,4
2303,joshua successfully completed weektasks without challenge set uplan also share resource like printer document interconnect connection onlan ,Excellent,joshua successfully,joshua successfully,4
2311,gilbert successfully completed weektasks supposed write end internship report explaining detail new skill acquired wish best ,Excellent,,,4
2323,encourage eve use pc stratcom practice aside successfully completed weektasks ,Excellent,,,4
2324,joram successfully completed weektasks appreciate power linuxencourage switch window linux createmulti boot system ,Excellent,,,4
2344,robinson successfully completed weektasks addition perfected cisco io command needed operate configure intermediary device router switch ,Excellent,,,4
2345,joshua successfully completed weektasksencourage get used linux since ita good operating system term security ,Excellent,joshua successfully,joshua successfully,4
2351,rhoda successfully completed weektasks ,Excellent,,,4
2352,chelsea successfully completed weektasks supposed write end internship report explaining detail new skill acquired wish best ,Excellent,chelsea,chelsea,4
2356,task successfully completed edgar ,Excellent,,,4
2357,mr lutalo self motivated completed weektasks time excellently ,Excellent,,,4
2371,task completed successfully ,Excellent,,,4
2382,successfully system test proceeding task hand ,Excellent,,,4
2385,francis successfully completed weektasks without challenge set uplan withnumber pc also share resource like printer internet connection ease ,Excellent,,,4
2388,task assigned week completed successfully nearby road construction call noise within work environment ,Excellent,week,week,4
2395,task assigned got completed time 100 response rate ,Excellent,100,100,4
2406,successfully completed weektasks ,Excellent,,,4
2468,completed study problem ,Excellent,,,4
2477,well implemented completed edgar ,Excellent,,,4
2506,try best complete task assigned despite fact hebeen busy school onlyfew task done done well ,Excellent,,,4
2513,task assigned herbert completed organization expectation well done ,Excellent,,,4
2542,jovia successfully completed weektasks dismantle assemblepc perform basic configuration layer 2 3 networking device ,Excellent,"jovia, 2 3","jovia, 2 3",4
2550,student independently figured blocking completing task completed task ,Excellent,,,4
2557,simon successfully completed weektasks reason switched coding netwoking hedoing well ,Excellent,,,4
2558,simon successfully completed weektasks supposed write end internship report explaining detail new skill acquired ,Excellent,,,4
2562,stacey well completed weektasks without challenge ,Excellent,stacey,stacey,4
2563,task activity successfully completed error mentioned system working good condition ,Excellent,,,4
2566,apart power black out simon successfully completed weektasks ,Excellent,,,4
2579,apart one minor incident clarissa successfully completed weektasks ,Excellent,one,one,4
2581,clarissa successfully completed weektasks set uplan withnumber end device pc also share resource like printer internet connection etc network ,Excellent,,,4
2582,successfully completed weektasks ,Excellent,,,4
2587,herbert successfully completed manual workshop participated also completed final internship report officially signed stamped task assigned completed expectation herbert beenwonderful intern appreciate commitment completing internship beinggood team member colleague ,Excellent,,,4
2599,done great work writing documentation making diagram completed task assigned ,Excellent,,,4
2604,task perfectly done edwin ,Excellent,,,4
2606,task done edwin without supervision ,Excellent,,,4
2608,task well done ,Excellent,,,4
2643,mercy successfully completed first week internshipencourage always contact trainer incase difficult concept ,Excellent,first week,first week,4
2713,graceous successfully completed first week internshipencourage always contact trainer incase challenge ,Excellent,first week,first week,4
2725,george successfully completed first week internshipencourage maximize time stratcom perfect practical concept ,Excellent,"george successfully, first week","george successfully, first week",4
2731,completed task createdgood responsive clean code ,Excellent,,,4
2738,benedict successfully completed first week internshipencourage compare intern concentrate focus improving hand skill ,Excellent,first week,first week,4
2762,swaib successfully completed first week internshipencourage move friend training session ,Excellent,"swaib, first week","swaib, first week",4
2781,task successfully completed without big challenge isgood team player ,Excellent,,,4
2790,task well excuted ,Excellent,,,4
2904,nicholas successfully completed first week internshipencourage get used schedule since internship 6 week ,Excellent,"nicholas, first week, 6 week","nicholas, first week, 6 week",4
2905,joseph completed current task assigned additionally researching completed task ,Excellent,joseph,joseph,4
2916,task assigned intern curse week completed successfully intern demonstrated good problem solving skill ability research alternative way executing task ,Excellent,,,4
2937,successively completed task ,Excellent,,,4
2962,task completed ,Excellent,,,4
2981,task done successfully major challenge faced ,Excellent,,,4
3018,participated mobile app training using flutter successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3049,presented web project project team review participated mobile app training using flutter successfully completed atara legacy website successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3057,participated mobile app training using flutter successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3066,successfully completed atara legacy website participated mobile app training using flutter presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3067,task completed successfully ,Excellent,,,4
3068,presented web project project team review participated mobile app training using flutter successfully completed atara legacy website successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3069,implemented banking app dashboard logins log out presented web project project team review participated mobile app training using flutter successfully completed atara legacy website successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3077,presented web project project team review participated mobile app training using flutter successfully completed atara legacy website successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3080,participated mobile app training using flutter successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3081,task completed ,Excellent,,,4
3083,participated mobile app training using flutter deployed banking app implemented dashboard successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3089,participated mobile app training using flutter successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3092,successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3111,participated mobile app training using flutter successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3115,participated mobile app training using flutter successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3118,successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3123,successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3152,started working onnew application adita set adita local server created login page connected database successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3153,trained project team mobile app using flutter successfully completed atara legacy website presented web project project team review successfully loaded excel file convert csv able set working directory inand plot graph ,Excellent,,,4
3154,task well accomplished ,Excellent,,,4
3219,task well completed ,Excellent,,,4
3224,task completed time ,Excellent,,,4
3232,assignment completed record time ,Excellent,,,4
3271,task partially completed however handedtp link router practice purpose ,Excellent,,,4
3315,abdallah successfully completed first week internship wellencourage always contact trainer incase difficulty ,Excellent,"abdallah, first week","abdallah, first week",4
3335,task completed successfully ,Excellent,,,4
3368,task completed time wasfast learner regarding data manipulation exercise ,Excellent,,,4
3374,task completed ,Excellent,,,4
3422,configured vlans successfully ,Excellent,,,4
3430,handed task time ,Excellent,,,4
3433,week completed successfuly ,Excellent,,,4
3457,completed ,Excellent,,,4
3487,task completed successfully ,Excellent,,,4
3501,sickly limited time completed task ,Excellent,,,4
3506,task assigned completed managed design wordpress personal blog ,Excellent,,,4
3511,completed ,Excellent,,,4
3533,sr completed submitted review ,Excellent,,,4
3564,handed task project time ,Excellent,,,4
3584,task completed well week ,Excellent,,,4
3608,completed ,Excellent,,,4
3642,task completed time ,Excellent,,,4
3695,weekly task completed assigned ,Excellent,weekly,weekly,4
3703,completed ,Excellent,,,4
3707,completed ,Excellent,,,4
3731,task assigned ,Excellent,,,4
3734,scrapping software completed required ,Excellent,,,4
3746,task completed ,Excellent,,,4
3747,task completed time ,Excellent,,,4
3748,task well excuted ,Excellent,,,4
3759,successfully completed projectgave internship training session ,Excellent,,,4
3761,completed ,Excellent,,,4
3764,task completed ,Excellent,,,4
3788,database logical structure completed ,Excellent,,,4
3794,student completed mentioned activity ,Excellent,,,4
3796,student completed task mentioned still collecting system requirement stakeholder coding continues ,Excellent,,,4
3834,successfully executed feedback task working led pre demo demo meeting successfully confident presentation successfully completed eight week internship required university ,Excellent,eight week,eight week,4
7,studentweekly progress justifiably good characterized enthusiasm learning ,Good,,,1
22,good knowledge whole process installation ,Good,,,1
28,good attitude resilience isgood start ,Good,,,1
30,good progressexpect student work together period ,Good,,,1
31,good time keeper much interest network ,Good,,,1
32,maintains good working relationship coworkers hasgood attendance record error rate acceptable work completed timely ,Good,,,1
46,week good development momentum issue ,Good,,,1
55,good attempt great enthusiasm ,Good,,,1
62,able identify different part ofcomputer good ,Good,,,1
75,good start research needed ,Good,,,1
76,good attitude towards challenge willingness learn well done ,Good,,,1
92,catching well contributes asks question doesnknow good work done ,Good,,,1
105,task well done good work ,Good,,,1
115,good work student ,Good,,,1
118,good attitude enthusiasm ,Good,,,1
119,good resilience trait team work ,Good,,,1
142,new nevertheless managed implement aspect talked good work done ,Good,,,1
161,good work ,Good,,,1
162,serious hardworking able make research thing done good work ,Good,,,1
165,idea wireless network practice become good ,Good,,,1
169,good attitude amidst challenge well done ,Good,,,1
173,assignment well done good team work skill ,Good,,,1
174,good attempt practice research needed ,Good,,,1
181,able troubleshoot fixproblem good ,Good,,,1
182,work well done practice good ,Good,,,1
189,good software developer andquick learner ,Good,,,1
204,assignment well done good enthusiasm ,Good,,,1
211,good attempt attitude amidst challenge ,Good,,,1
212,maintains good working relationship coworkers hasgood attendance record error rate acceptable work completed timely ,Good,,,1
253,good conduct time keeping ,Good,,,1
258,work well done good attitude amidst challenge ,Good,,,1
270,consulted good understanding helped progress ,Good,,,1
272,wait got right corner requirement good performance ,Good,,,1
280,building good relationship team ,Good,,,1
325,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,,1
342,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,,1
442,fixed domain problem site back running good job ,Good,,,1
469,good multi tasking working various project lab time ,Good,,,1
481,good computational skill good managing time ,Good,,,1
488,good progress boarding ,Good,,,1
507,good job k8s crane cloud deployment ,Good,k8s,k8s,1
516,good job docker k8s crane cloud deployment ,Good,k8s,k8s,1
567,intern good relationship partner term adaption work requirement deliverable ,Good,,,1
596,good work mariam week please improve punctuality ensure miss team collaboration meeting lag behind project progressesencourage read technology become good day ,Good,,,1
636,nansamba nuluyati good database good problem solving skill ,Good,nansamba nuluyati,nansamba nuluyati,1
717,thank priscilla staying focused committed project team performanceencourage continue reading technology sake php please read apply object oriented programming oop paradigm going help write good code maintained good future either people work project ,Good,,,1
726,good research self motivated ,Good,,,1
733,intern good relationship partner term adaption work requirement deliverable ,Good,,,1
741,good time management skill improved communcation skill ,Good,,,1
742,intern learning adapt work life quite good happy contribution last project ,Good,,,1
757,micheal made good progress weekly dohe good presenting work done interaction team also getting good hope see speed execution grow take week ,Good,"weekly, week","weekly, week",1
758,seen great please keep good ,Good,,,1
777,thanks ryan staying committed focused task handencourage read deployment php project server help devops colleague good understand requirement good facilitate ,Good,,,1
782,well executed keep good work ,Good,,,1
804,good work done joshua showing enough knowledge linux operating system andwant work good use skill ,Good,,,1
807,intern good relationship partner ,Good,,,1
808,good work zaharah keep ,Good,,,1
820,handled given task well getting good reaching outgoing confident presenting work great input seen idea around new feature good job ,Good,,,1
823,nansamba nuluyati good project management skill andgood attitude ,Good,nansamba nuluyati good project,nansamba nuluyati good project,1
831,good ethic team work ,Good,,,1
860,slow machine frustrate developer soencourage marvin upgrade machine good performance ,Good,,,1
888,kenneth upgrade machine good performance ,Good,kenneth upgrade,kenneth upgrade,1
893,machine freeze frustrate developerencourage daniel upgrade machine good performance ,Good,,,1
896,good work ,Good,,,1
906,good progress andrew keep spirit ,Good,,,1
916,keep good work trevor team registered good progress ,Good,,,1
918,umaruattendance record week exceedingly proper regardless network connection challenge continued maintaingood working relationship team member assigned inquisitive asks learn attentive training ,Good,,,1
926,good job however need specific task ,Good,,,1
974,keep good work area improvement collaborate front end team keep good work ,Good,,,1
978,good understanding transact sql managed understand good programming design principle ,Good,,,1
979,task concept well understood dolot practice good work done ,Good,,,1
998,umarattendance record week exceedingly proper regardless network connection challenge continued maintaingood working relationship team member assigned inquisitive asks learn attentive training ,Good,umarattendance record week,umarattendance record week,1
1011,ishardworking student good oral communication self confident ,Good,,,1
1015,good job keep ,Good,,,1
1027,slow machine frustrate developerencourage aida upgrade machine good performance ,Good,,,1
