,Comment,Classes,ner_text,ner_comments
30,good progressexpect student work together period ,Good,,
31,good time keeper much interest network ,Good,,
32,maintains good working relationship coworkers hasgood attendance record error rate acceptable work completed timely ,Good,,
33,took time catch unix command great performance ,Very Poor,,
34,hea quick learner hasfew idea wordpress task hecopying well ,Very Poor,,
35,student able install printer driver able demonstrate file transfer file access link different computer able identify compatible ram computer question also able create rule folder m outlook 2010 practice able operate minimal supervision ,Very Poor,2010,2010
36,need practice otherwise interested ,Very Poor,,
37,know hardware identify troubleshoot related problem ,Very Poor,,
38,student well organized willing learn innovative ,Very Poor,,
39,stated internet blackout halted progress ,Very Poor,,
40,already learned basic data analysis panda key main task developing data visualization also presentedconceptual model api design data required implement dashboard ,Very Poor,,
41,part challenging especially configuration termination otherwise make effort see thing work end ,Very Poor,,
42,gave himtask work improve front end ofsystem already production company progressing wellrealized know programming concept soneed introduce real world problem find solution generally well ask understand ,Very Poor,,
43,knowledge ip address able put practice ,Very Poor,,
44,quite impressive ,Very Poor,,
45,week went well hadfair amount tech debt clearance feature addition ,Very Poor,,
46,week good development momentum issue ,Good,,
47,know ip address good nowbelieve know enter interconnect configure different device ,Very Poor,,
48,week slow momentum due miscalculation part ,Very Poor,,
49,weekwork mostly reducing tech debt improving pull request quality islot progress made front team member ,Very Poor,,
50,notable issue came attention regard task executionam also happy benjamin get help pull request review ,Very Poor,,
51,task execution went well notable issue per execution ,Very Poor,,
52,ok ,Very Poor,,
53,week progress derailed due health issue benjamin hope next week good ,Very Poor,"week, next week","week, next week"
54,task execution went well notable issue per execution ,Very Poor,,
55,good attempt great enthusiasm ,Good,,
56,new well knowledgeable setting upnetwork ,Very Poor,,
57,student acquired skill network simon participative inquisitive learn ,Very Poor,,
58,identify troubleshoot different component ofups ,Very Poor,,
59,student acquired hand skill installation configuration network device network layout ,Very Poor,,
60,performed well asking contributing identification solving problem associated withups ,Very Poor,,
61,knowledgeable different symbol associated withups ,Very Poor,,
62,able identify different part ofcomputer good ,Good,,
63,performed well identity different component ,Very Poor,,
64,knowledge find difficulty starting installation process ,Very Poor,,
65,performed well hardship ,Very Poor,,
66,process kind challenging especially bios page otherwise installation follows quite well ,Very Poor,,
67,need practice terminating cable otherwise knowledge networking ,Very Poor,,
68,learnt aspect wireless network work put practice ,Very Poor,,
69,new serious knowing done ,Very Poor,,
70,notable presence passion graphic design development ,Very Poor,,
71,quickly adapted use javascript front end development however possible research direction would increase perfection hence help work fast ,Very Poor,,
72,giventask different code snippet php start onreal world project done well basic php good go next going combining j php mysql html put atlevel programming small project start ,Very Poor,,
73,student started learning deal corporate environment ,Very Poor,,
74,student took onnew language development platform django python progressed well onweekly basis managing developtask management application development unit ,Very Poor,,
75,good start research needed ,Good,,
76,good attitude towards challenge willingness learn well done ,Good,,
77,m angella smart articulate calm ready learn willing face challenge m angella settle well existing team warmly welcomed good luck attachment ,Very Poor,angella smart,angella smart
78,bug fix task finally completedreport submitted andhave reviewed taskshould say good progress ,Very Poor,,
79,also setup cpanel uploaded site file enabled sslfew bug sorted though ,Very Poor,,
80,well done ,Very Poor,,
81,configuration done successful expected ,Very Poor,,
82,mastered hardware knowledge identify troubleshoot problem ,Very Poor,,
83,ok ,Very Poor,,
84,includes office telephone extension createdplacing telephone set position ii terminating cable connecting desk top phone general network running pabx iii creating extension number iv configuring fordesk phonefixingcard onserver pbx student also work concerning printer basic management included replenishingprintertonner trainee also replacedlaptopmicro processor ,Very Poor,,
85,student started development ,Very Poor,,
86,computer revision greatfound university donegreat job area computer study made worklot easy internship ,Very Poor,,
87,given assignment work personal website wordpress post news channel 44 website ondaily basis hecopying well ,Very Poor,,
88,student participated tot moodle lm acquired administrative skill manage moodle lm ,Very Poor,,
89,king kind new put practice well ,Very Poor,,
90,well knowledgeable asks sure something ,Very Poor,,
91,performed well whole process setting upnetwork assigning ip address sharing resource keep ,Very Poor,,
92,catching well contributes asks question doesnknow good work done ,Good,,
93,student understood importance software driver able distinguish printer driver based printer model student also able understand use inbuilt window utility tool ,Very Poor,,
94,know identifyparticular system especiallyups found challenging point specific component sure well ,Very Poor,,
95,noted well done ,Very Poor,,
96,performed well able setupnetwork share resource ,Very Poor,,
97,done supervisorsatisfaction ,Very Poor,,
98,putting effort understands concept resource sharing ,Very Poor,,
99,familiar concept router able execute work given well ,Very Poor,,
100,done ,Very Poor,,
101,completed satisfaction ,Excellent,,
102,understanding concept networking well setup share wired wireless network ,Very Poor,,
103,determined know hasproblem asks ,Very Poor,,
104,great enthusiasm self drive ,Very Poor,,
105,task well done good work ,Good,,
106,inquisitive committed learning process ,Very Poor,,
107,actively involved self task ,Very Poor,,
108,student performed well ,Very Poor,,
109,student developed database ,Very Poor,,
110,giventask different code snippet php start onreal world project done well basic php good go ,Very Poor,,
111,completed satisfaction ,Excellent,,
112,completed within time frame specified ,Excellent,,
113,competed satisfaction ,Very Poor,,
114,completed satisfaction ,Excellent,,
115,good work student ,Good,,
116,student master principle fast delivers right thing time ,Very Poor,,
117,interest learning new challenging thing able understand implement wireless network ,Very Poor,,
118,good attitude enthusiasm ,Good,,
119,good resilience trait team work ,Good,,
120,end week presentedcomplete definition user interface stakeholder liked page well aligned presentable putting custom cs bootstrap together back end data ,Very Poor,,
121,accomplished task website tested locally ,Very Poor,,
122,implemented mobile money payment fromthird party provider use api mtn formore feasible solution ,Very Poor,,
123,impressed belindafront end skill ability design information system managed analyze data handed generate ui wireframes visualization inweb application ,Very Poor,,
124,enthusiasm learn displayed exercised isgood indicator ofserious person student keep m angella sky limit attitude taken upcoming career ,Very Poor,,
125,successfully finished task ,Excellent,,
126,active task available ,Very Poor,,
127,form developed ,Very Poor,,
128,quite impresive time ,Very Poor,,
129,developed website ,Very Poor,,
130,know importance ofnetwork share resource ,Very Poor,,
131,ok ,Very Poor,,
132,ok ,Very Poor,,
133,ok ,Very Poor,,
134,much eager learn involve self activity ,Very Poor,,
135,ok ,Very Poor,,
136,good attitude reception towards learning new thing able ask help whenever needed ,Very Poor,,
137,pizza system comelong way seems helped learn navigate challengeswould like see implemented business world future possible ,Very Poor,,
138,student progressed well ,Very Poor,,
139,checked completed ,Excellent,,
140,checked completed ,Excellent,,
141,understood concept hardware well given prior knowledge thing ,Very Poor,,
142,new nevertheless managed implement aspect talked good work done ,Good,,
143,know thing ip address theoretically sure know apply ,Very Poor,,
144,determined yo learn new thing thing talked new otherwise good listener ,Very Poor,,
145,wasbit challenging beginning picked understood concept ,Very Poor,,
146,isquick learner put thing practice ,Very Poor,isquick learner,isquick learner
147,bridget wasvery smart active intern showed interest assignment always asking question inquisitive though difficulty term used office hashigh spirit team work getting along staff well exhibited good knowledge network good application networking skillsnoticed pay close attention instruction given trackam confident internship going valuable disciplined always seeking new idea knowledge ,Very Poor,,
148,namugema focused good time management task given assessed excellent submitted time despite internet shut always seeking feedback positively responds criticism task asked felt comfortable enough trust instinct handled many situation alleviated much work loadand staff impressed ability ass work get thing accomplished inshort work day department trusted deal device network troubleshooting always delivered beyondexpected come day know exactly get done also ease great updating asked intelligent question picked everything quickly big advantage surpassed expectation really ran everything handed herwas impressed communication leadership self driven skill trait well commitment work time could reportbit late used time office productively accomplishedlot short time available helpful staff gave assistance ,Very Poor,namugema,namugema
149,namugema highly intelligent well organized motivated work varied assignment billbrain technology ltd staff impressed work ethic enthusiasm drive indicated demonstratedgood base knowledge allowed u assign internal financial transaction management system design analysis work project team work product thorough attention detail exceptional willdedicated ideal employee leader company considering employment ,Very Poor,namugema,namugema
150,namugema bridget served intern particular distinction initiative learn business process hand system design commendable bridget great organizational skill us initiative always follows throughbelieve beenpositive learning experience learning basic business etiquette especially inhierarchical institution awesome leadership skill computer competency good communication skill great team player cooperation fantastic time management hardworking spirit aregreat description bridget internship time remarkable look forward working time overall excellent intern resourceful surely deserves ,Very Poor,namugema,namugema
151,sherinah conscientious confident work shea personable individual good work ethic follows direction well sheso inquisitive always demand know new thing concerning task given asks question different side life shewas much conversant networking networking skill good sherinah disciplined andvery passionate woman want learn improve every day excellent ,Very Poor,every day,every day
152,nantambi sherinah displayed strong organizational skill combined outstanding social skill anddedicated work ethic made outstanding asset team intelligent committed work sense purpose professionalism see far career path choice could take initiative self confidence excellent prospect clearly showedgenuine interest task could submit time expected wasgood time keeper say could make office early morning order start given task however day used come officelittle bit late strong evident reason confident self driven shehas got leadership skill good communication skill well itspleasure work diligent responsible great idea besides verbal communication skill improved greatly since 1st day started internship ,Very Poor,"early morning, 1st day","early morning, 1st day"
153,nantambi isquick learner continues learn aspect working line learning iswide range work done billbrain technology thus far jumped head first learn many aspect company recently requested additional work show confident capability excellent asset company billbrain technology ldt brought new innovative idea table greatly missed served intern particular distinction highly intelligent well organized motivated work varied assignment hard working good idea needslittle work taking constructive criticism istremendous help u say able put together information needed inprecise research computer skill communication skill bestve seen makesdifficult task look easy articulate finding extreme clarity always willing whatever need done hasgreat personality shea great intern withbright future ,Very Poor,first,first
154,committed student hebeen able finish task time ,Very Poor,,
155,billbrain staff stake holder andare satisfied sherinahoverall performancecertainly would consider formore permanent job future task asked felt comfortable enough trust instinct handled many situation alleviated much work load impressed ability ass work get thing accomplished inshort work day department trusted deal website intern team always delivered beyondexpected nantambi come day know exactly get done also ease great updating asked intelligent question picked everything quickly big advantage surpassed expectation really ran everything handed herwould like express amazing intern nantambi sherinah short period interacted truly one ofkind unbelievably responsible poised professional personable andgreat team member excellent job internship program showsstrong desire learn great maturity given many different task completed little guidancebelieve amazing future ahead information system anywhere else type person people want work around rarehope proud accomplished ,Very Poor,one,one
156,great progress ,Very Poor,,
157,good progress hea quick learner positive able complete assigned task required time period despite difficulty internet connection ,Very Poor,,
158,assignment well done ,Very Poor,,
159,isquick learner completed task meant acceptance criterion improve speed completing many task possible inweek improve team work ,Excellent,isquick learner,isquick learner
160,student taken step followed configure desk phone extension office eager learn level enthusiasm revealsgood progress also taken fixing different error computer related internal peripheral component looking forward giving chance practice ,Very Poor,,
161,good work ,Good,,
162,serious hardworking able make research thing done good work ,Good,,
163,intern attended staff tot moodlelearning management system acquired admin skill ,Very Poor,,
164,intern participated configuration wireless network showed confidence skill managing wireless network ,Very Poor,,
165,idea wireless network practice become good ,Good,,
166,task completed ,Excellent,,
167,know challenge wireless network deal ,Very Poor,,
168,task well completed ,Excellent,,
169,good attitude amidst challenge well done ,Good,,
170,bit understanding javascript work save user time data move page page send data user interface back end server side ajax ,Very Poor,,
171,picking well persistency excellent ,Very Poor,,
172,participates actively see learns ,Very Poor,,
173,assignment well done good team work skill ,Good,,
174,good attempt practice research needed ,Good,,
175,practically well versed microsoft office application widely used many professional ,Very Poor,microsoft office application,microsoft office application
176,student able deploy synology server created server volume installed active directory server active directory backup business create user user group student also configured mikrotic router lynksys router demonstrating network server management skill student equally prepared report excel word processing list computer user ,Very Poor,,
177,student acquired hand network skill regard wireless network also participated installation administration proxmox virtual environment installation ubuntu 20 04 server ,Very Poor,20 04,20 04
178,willingness learn face new challenge ease ,Very Poor,,
179,task well executed delivered thank mahad dedication ,Very Poor,,
180,student developed well ,Very Poor,,
181,able troubleshoot fixproblem good ,Good,,
182,work well done practice good ,Good,,
183,week produced animated front page attractive motion important section pricing subscription also added fully functional ,Very Poor,,
184,like encounter new thing pat attention understand idea ,Very Poor,,
185,given desire learn attributescan testify m angella practically set upbasic lan wan access control infrastructure thank putting theory practice ,Very Poor,,
186,period wasshortage staff department m angella filled gap setting various laptop record time managed issue end user project personnel thank tireless effort delivery time ,Very Poor,angella,angella
187,company ,Very Poor,,
188,student acquired demonstrated practical knowledge networking assigning ip address manually understood practical dhcp operation student also created user user group server thus got familiar user management ,Very Poor,,
189,good software developer andquick learner ,Good,,
190,successful weektasks work ysave member system improve application ,Very Poor,,
191,promising progress student take effort solve challenge ,Very Poor,,
192,database successfully created ,Excellent,,
193,successfully created html form capture studentrecords ,Very Poor,,
194,successfully designed eye catching interface using bootstrap cs ,Very Poor,,
195,douglas ability multitask make himpromising developerwish best ,Very Poor,douglas,douglas
196,successfully createddatabase formovie store ,Very Poor,,
197,successfully created html form capture student detail ,Very Poor,,
198,successfully designed eye catching interface using bootstrap cs ,Very Poor,,
199,impressed godfreydesire learning code system scratch continue brushing coding skill begreater developer ,Very Poor,,
200,interest making sure thing workout practice become good ,Very Poor,,
201,student able demonstrate transfer replacement computer laptop component key board replacement cmos battery replacement laptop motherboard also charged recording computing device store updating information inventory work well done ,Very Poor,cmos battery replacement,cmos battery replacement
202,week joseph learned implemented ussd sm using object oriented php mysql also learned deploy php application andlive server know install library using composercommand line application used install external library intophp application known prepare application procedure starting code ,Very Poor,week,week
203,new security well assignment interacted well cpanel ,Very Poor,,
204,assignment well done good enthusiasm ,Good,,
205,nice piece work done ,Very Poor,,
206,beautiful website made practice research ,Very Poor,,
207,company ,Very Poor,,
208,task completed time instructed ,Excellent,,
209,isperson pay attention detail mastering graphic design waslot easy thanexpected great knowledge industrial dominating tool adobe illustrator highly used world wide designstherefore recommend university add emphasis practical field graphic design prepare student job challenge real world ,Very Poor,,
210,completed task meant acceptance criterion completed withinminimal time frame ,Excellent,,
211,good attempt attitude amidst challenge ,Good,,
212,maintains good working relationship coworkers hasgood attendance record error rate acceptable work completed timely ,Good,,
213,added functionality functioning well ,Very Poor,,
214,faithprogress impressive think box willing learn take far field software engineering stilllot learn butbelieve posse right quality keep improving ,Very Poor,,
215,faith displayed knowledge various step involved software development life cycle keen reaching implementation step well aware involved design stage providessmooth transition towards implementation ,Very Poor,,
216,wasvery productive weeklot progress made benjamin team ,Very Poor,,
217,week productive benjamin team executed well ,Very Poor,,
218,task assignment well completed good interaction lesson ,Excellent,,
219,task completed ,Excellent,,
220,good knowledge foundation web especially university introducing practice website development design easierrecommend continued practice area ,Very Poor,,
221,eager learn new technology seen much question asks training session ,Very Poor,,
222,internee given exercise addingsplash screenprogress bar andrecycler view using java language android studio purpose help internee express advancement software development environment done successfully however also adding top nav bar creatingdashboard ,Very Poor,advancement software development environment,advancement software development environment
223,well completed ,Excellent,,
224,excellent ,Very Poor,,
225,able complete demo task assigned excellent performance devops ,Very Poor,,
226,wasgood quick activity thing like creating database live server uploading source done ,Very Poor,,
227,company ,Very Poor,,
228,student kicked bootcamp stage started gaining capacity various concept software engineering enable gain capacity deliversoftware product ,Very Poor,,
229,student demonstrated somefoundation background knowledge database design implementation great room improvement ,Very Poor,,
230,student finalised learning database design great team work demonstrated new theoiand need learn fast ,Very Poor,,
231,deployment learnt task accomplished time student need adopt fast pace learning ,Very Poor,,
232,student exposed new concept tdd design pattern need learn practice early enough pull sock ,Very Poor,,
233,applied demonstrated build run test individual project tdd delivered ,Very Poor,,
234,student gained knowledge bdd slow implementation great work improvement ,Very Poor,,
235,demonstrated ability implement ci cd inreal project great work week ,Very Poor,,
236,student prior knowledge code refactoring insight debugging code smell great foundation university ,Very Poor,,
237,student introduced team laboremus began interaction client establish requirement team work new team assigned need improvement ,Very Poor,,
238,vision scope document presented student improvement based client input requirement elicitation technique ,Very Poor,,
239,vision scope delivered student started sr documentation skill improving ,Very Poor,,
240,great research work demonstrated trying produce sdd version 1 delivered time team ,Very Poor,1,1
241,erd related documentation delivered client many change final version yet approved great team leadership student sharing knowledge team member ,Very Poor,,
242,student together team delivered mockup design system ,Very Poor,,
243,task project planning role assignment done student assumed role front end development ,Very Poor,,
244,project initiation tool done time break holiday ,Very Poor,,
245,festive season nothing evaluated ,Very Poor,,
246,front end mock user implemented required student need make good improvement ,Very Poor,,
247,time taken student adjust back end gain capacity implement news task internet shut affected pace student team ,Very Poor,,
248,feature 2 system fully done pending task student need gain fast pace internet shut affected pace student team ,Very Poor,2,2
249,project behind timeline student ability accomplish task internet back student picked pace ,Very Poor,,
250,project timeline track great team work student code review improvement ,Very Poor,,
251,initial testing bug detected student demonstrated ability read error bug plus ability debug ,Very Poor,,
252,project still going last phase task accomplished ready final presentation ,Very Poor,,
253,good conduct time keeping ,Good,,
254,m angellaattentiveness desire learn familiar admirable thank drive software installation done independently good see ,Very Poor,,
255,m angellawillingness learn drive seek clarity rank assuper learner well done angella ,Very Poor,,
256,completed task meant acceptance criterion completed withinminimal time frame ,Excellent,,
257,using android studio trainee tasked continuation last weekpending work including adding top nav bar creatingdashboard filteringrecycler view using java language android studio web development using html trainee given exercise addingfavicon towebsite html purpose help trainee learn concerning web development wasgood experience seeing exercisegood progress learning ,Very Poor,,
258,work well done good attitude amidst challenge ,Good,,
259,task well completed nice website done ,Excellent,,
260,looking forward final report ,Very Poor,,
261,looking forward receiving final report ,Very Poor,,
262,ui made responsive beautiful ,Very Poor,,
263,faced challenge ide helping hand accomplished task ,Very Poor,,
264,isquick learner andperson pay attention detailsencourage take practice web programming order master meet market standard ,Very Poor,isquick learner,isquick learner
265,able design first website using technology learned given small time period since time internship startedsay impressive however need improve project management skill especially time ,Very Poor,first,first
266,could relied completing task time ,Very Poor,,
267,tried best meet attendance despite challenge slow internet ,Very Poor,,
268,took initiative consult needed assistance ,Very Poor,,
269,scheduled time advance coordinate backend developer impressive ,Very Poor,,
270,consulted good understanding helped progress ,Good,,
271,despite time required get task done gave time extra effort see thing got done ,Very Poor,,
272,wait got right corner requirement good performance ,Good,,
273,completed task meant acceptance criterion completed withinminimal time frame ,Excellent,,
274,followed schedule adhered designated break advised ,Very Poor,,
275,worked together pull resource necessary data together helped taking task ,Very Poor,,
276,usual communicated openly team asked assistance necessary ,Very Poor,,
277,took initiative ask assistance ,Very Poor,,
278,took time listen reviewed performance ,Very Poor,,
279,noted embracing culture knowledge sharing research answered question ,Very Poor,,
280,building good relationship team ,Good,,
281,effectively communicates ,Very Poor,,
282,haswillingness listen help learning ,Very Poor,,
283,hea great team player ,Very Poor,,
284,support others integrating fulfilling task ,Very Poor,,
285,best get task done ,Excellent,,
286,gave team member opportunity teach wasgood learner ,Very Poor,,
287,relied upon team mate ,Very Poor,,
288,work best team ,Very Poor,,
289,delivers urgently necessary resource eas work better learning ,Very Poor,,
290,expertly prioritizes work ,Very Poor,,
291,exceeded expectation delivering assigned work ,Very Poor,,
292,make best use time ,Very Poor,,
293,expertly prioritizes work without getting tangled unnecessary detail ,Very Poor,,
294,need invest time experimenting learnt stick taught discussed internship session overall progress promising ,Very Poor,,
295,always willing learn new skill demonstrate practically ,Very Poor,,
296,first activity networking session great surveying exercise well diagramming quantifying bill needed network project ,Very Poor,first,first
297,active practical student paid clear attention demonstration wireless security administration availing device ,Very Poor,,
298,managed configure networking device first cisco packet tracer late shifted live machine configuration using putty software console cable configuration involved vlan vlan trunking inter vlan routing switch port security well eigrp acldo believe demonstrate configuration protocol well ,Very Poor,"first, inter vlan","first, inter vlan"
299,designedmulti page wordpress site customized match assigned design requirement ,Very Poor,,
300,managed designwebsite using cm wordpress late hosting using 60 day free trial hosting service provided smarterasp netdo believe thorough domain registration web hosting ,Very Poor,60 day,60 day
301,demonstrated good knowledge understanding motherboard component troubleshooting motherboard problem ,Very Poor,,
302,waspublic holiday office yet open official duty ,Very Poor,,
303,muwanga ian active session operating system managed install window 10 enterprise window 8 professional well device driver ,Very Poor,"ian, 10, 8","ian, 10, 8"
304,activity involved introductory usage o environment preparing installation included making bootable device dvd flash disk ,Very Poor,,
305,need learn manage time properly deliver assignment ,Very Poor,,
306,continues prove never failing deliver assignment ,Very Poor,,
307,wasquick understanding student class ,Very Poor,,
308,work well fellow intern asks understand always ready help others ,Very Poor,,
309,m angellawork attitude excellent given willingness learn handled task deligently ,Very Poor,,
310,well done m angella task done independently guidance required sought ,Very Poor,angella task,angella task
311,wasgood listening student ,Very Poor,,
312,need learn quickly scope internship isbit wide still covering basic ,Very Poor,,
313,dashboard reporting system completed ,Excellent,,
314,social medium platform disabled successfully ,Very Poor,,
315,staff remote access successful though tried ,Very Poor,,
316,really stressed stage butkept advising learn manage stress ,Very Poor,,
317,remote access server recommended ict staff successful account created tried orient u thing thorough ,Very Poor,,
318,dust blowing machine done system update anti virus installation fairly done skill speed internet limited ,Very Poor,,
319,social medium platform created creating ip address server password challenged ,Very Poor,,
320,really laboured much see ncomputing system work ,Very Poor,,
321,making research task trouble consumes time ,Very Poor,,
322,though research done school management app created ,Very Poor,,
323,used consult friend user interface designed ,Very Poor,,
324,overall improvement first began ispromising student given fact work weakness ,Very Poor,first,first
325,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
326,progressive ,Neutral,,
327,laptop challenge attended session kept time ,Very Poor,,
328,many technical challenge able understand skill offered ,Very Poor,,
329,progressive ,Neutral,,
330,progressive ,Neutral,,
331,sill acquired computer challenge ,Very Poor,,
332,many technical issue laptop positive progressed understanding skill ,Very Poor,,
333,progressive technical issue computer ,Very Poor,,
334,progressive ,Neutral,,
335,progressive ,Neutral,,
336,technical challenge computer able progress understanding task hand ,Very Poor,,
337,week multitasked mary able catch new skillsets ,Very Poor,,
338,progressive ,Neutral,,
339,week challenging student since many issue computer ,Very Poor,week,week
340,georgia colleague didgood presentation showed desire explore new technology ,Very Poor,georgia,georgia
341,mark colleague didgood presentation showed desire explore new technology ,Very Poor,,
342,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
343,progressive hardware maintenance repair task ,Very Poor,,
344,progressive ,Neutral,,
345,challenged use new skillset cs using dreamweaver yet also computer specification couldnenable make installation adobe suite skill acquired ,Very Poor,,
346,able multi task since three session say week handling different area ,Very Poor,three,three
347,progressive ,Neutral,,
348,progressive task hand ,Neutral,,
349,hadlaptop challange didnt hind u starting database development since hadteam work ,Very Poor,,
350,technically challenged followed recorded material ,Very Poor,,
351,progressive skill wise although still challenged laptop new website designing content management system design ,Very Poor,,
352,progressive skill acquired practice colleaguecomputer ,Very Poor,,
353,progressive ,Neutral,,
354,reduced pace due laptop ,Very Poor,,
355,still hadchallenge computer ,Very Poor,,
356,challenged laptop us ,Very Poor,,
357,progressive technically irrespective transport challenge ,Very Poor,,
358,lubega progressing well internship learning tableau creating visualization support business ,Very Poor,lubega,lubega
359,bazaale able configurelamp stack server createddns zone resolved remote ubuntu server also able install ssl certificate letencrypt well secure php mysql server withpassword successfully installed phpmyadmin ubuntu server well ,Very Poor,,
360,progressive according student knowledge uptake practical skill execution ,Very Poor,,
361,connection challenge present physically enabled cope ,Very Poor,,
362,challenging progressed solving challenge acquired practical skill solving problem ,Very Poor,,
363,progressive ,Neutral,,
364,progressive ,Neutral,,
365,timothy team got briefing client quick grasp general concept detail design websitetasked come website flow chart completed time starting code main task individual well ,Very Poor,timothy team,timothy team
366,commend benadette excellent attitude diligence week keep spirit throughout internship period next weektasks include approval solution design document execution first sprint project implementationencourage visit scrum org read scrum since central successful implementation project issue lack physical meeting looked aschallenge since new normal everybody record resultant challenge poor connectivity also important note future work remote working setup like one applying ,Very Poor,"week, first","week, first"
367,task accomplished week ending 27 june 2021 ,Very Poor,week ending 27 june 2021,week ending 27 june 2021
368,student completed module 1 itwebsite designing mastered well basing practical work week also start networking interacting withfew networking device like climping tool generally attained basic website designing ,Very Poor,1,1
369,team excited collins intern board ,Very Poor,,
370,progressive skill wise although challenged technically ,Very Poor,,
371,accepts mistake say sorry ,Very Poor,,
372,goodwork ,Very Poor,,
373,challenged movement hence week online ,Very Poor,week,week
374,progressive although computer challenge considered progressive since student able understand skill introduced week interaction ,Very Poor,week,week
375,interested learning ,Very Poor,,
376,viola keep diligence exhibited team activitiesencourage improve preparation online team collaboration activity miss anythingalso advise get touch guidance write progress report desired level clarity precision lack physical movement company premise notchallenge right since new normal everybody could highlight resultant challenge new normal poor intermittent network connectivity need accurately capture project working project focussed developingwhatsapp business integration plugin asterisk digital marketplace website downloading installing wordpress woocommerce local machine benefit give opportunity familiarise wordpress woocommerce something vital success projectmain task ,Very Poor,,
377,onboarding began successfully looking forward learning contributing frontend task ,Excellent,,
378,onboarding began successfully looking forward learning contributing frontend task ,Excellent,,
379,onboarding began successfully looking forward learning taking assigned task ,Excellent,,
380,rolandcommend energy attitude team week keep going forwardencourage check colleague andrew writeprogress report desired clarity precision avoid connectivity issue online team collaboration meeting preparing session good please note next week going proceed executing implementing solution soon solution design document approved mean team proceed working first sprint line scrum methodology work please read scrum visiting scrum org ,Very Poor,"week, andrew writeprogress, next week, first","week, andrew writeprogress, next week, first"
381,period learning solomon exhibited basic understanding sql since interact amnesty commission database systembelieve internship period continues gain valuable skill sql database management skill ,Very Poor,,
382,yvette done well since beginning internship ,Very Poor,,
383,mark led colleague preparation project sustainable environment ,Very Poor,,
384,hadnetwork challange able use recorded video catch ,Very Poor,,
385,louisa ispromising developer best luck ,Very Poor,,
386,ispromising developer also learns new concept quite easily ,Very Poor,,
387,magembe able installlamp stack also able createdns zone resolve remote server ip address managed install secure php mysql server phpmyadmin also able installletencrypt ssl certificate certbot create company email well ,Very Poor,,
388,joshua facedfew challenge coding beginning internship like unexpected error etc managed debug henow well ,Poor,joshua facedfew challenge,joshua facedfew challenge
389,isfocussed student andwish best ,Very Poor,,
390,apart fromfew challenge hea committed student ,Very Poor,,
391,norah committed learning new thing best luck ,Very Poor,norah,norah
392,isaac progressing well internship learning tableau creating visualization support business ,Very Poor,,
393,stom managed catch despite facingfew challenge ,Poor,,
394,kenneth managed complete weekmain task setting development enviroment messaging app ,Poor,kenneth managed complete weekmain task,kenneth managed complete weekmain task
395,despite afew challenge especially programming language marvin managed complete weekmain task setting development environment messaging app ,Poor,,
